year,repo,commit,root_cause,symptom,code_add,code_remove,platform_related,error_handling,propagation_chain_1,propagation_chain_2,len_panic
2021-before-edition2021,tokio,8f27c04a,Ver,Compile,0,1,0,0,safe,safe,-1
2021-before-edition2021,tokio,9ff7d8c3,Doc,Behavior,4,0,0,0,safe,safe,-1
2021-before-edition2021,tokio,b877629c,Alg,Performance,35,0,0,1,safe,safe,-1
2021-before-edition2021,tokio,c4e56232,Alg,Behavior,7,3,0,0,safe,safe,-1
2021-before-edition2021,tokio,ce9ca45c,Attr,Compile,9,2,0,0,safe,safe,-1
2021-before-edition2021,tokio,d047584e,Doc,Behavior,5,0,0,0,safe,safe,-1
2021-before-edition2021,tokio,d39c9ed9,Ver,Panic,49,58,0,0,safe,safe,-1
2021-before-edition2021,tokio,e6621757,Doc,Behavior,3,0,0,0,safe,safe,-1
2021-before-edition2021,tokio,e9f6faee,Doc,Behavior,13,9,0,1,safe,safe,-1
2021-before-edition2021,tokio,edfff755,Mac,Compile,14,3,0,0,safe,safe,-1
2022,egui,0d00185d,Alg,Behavior,19,6,1,1,safe,safe,-1
2022,egui,10f30a0c,Alg,Panic,114,64,0,1,safe,safe,3
2022,egui,15254f82,Ver,Panic,21,120,0,0,safe,safe,-3
2022,egui,205e04aa,Alg,Panic,83,81,0,0,unsafe,unsafe,1
2022,egui,30f9700f,Alg,Behavior,18,1,0,1,safe,safe,-1
2022,egui,3d754e3a,Alg,Behavior,47,9,0,0,safe,safe,-1
2022,egui,41b178b6,Ver,Panic,99,10,1,0,safe,safe,-1
2022,egui,4525cad7,Alg,Behavior,4,0,0,0,safe,safe,-1
2022,egui,4629f2cd,Unwrap,Panic,1,1,0,0,safe,safe,3
2022,egui,51081d69,Ver,Crash,16,4,1,0,safe,safe,-1
2022,egui,5687aa6b,Ver,Panic,2,2,1,0,safe,safe,-1
2022,egui,62a00c45,Alg,Panic,8,3,0,1,safe,safe,-3
2022,egui,6cc43dbd,Alg,Behavior,4,0,0,1,safe,safe,-1
2022,egui,7987920f,Alg,Behavior,2,2,0,0,safe,safe,-1
2022,egui,8272b087,Alg,Behavior,57,55,0,0,safe,safe,-1
2022,egui,8eb687cf,Unwrap,Panic,240,39,0,1,unsafe,unsafe,0
2022,egui,940b896c,Alg,Behavior,6,8,0,0,safe,safe,-1
2022,egui,9624de6c,Conc,Performance,24,8,0,0,safe,safe,-1
2022,egui,a0b3f112,Alg,Behavior,295,117,1,1,safe,safe,-1
2022,egui,a5076d4c,Alg,Panic,300,109,1,1,unsafe,unsafe,-2
2022,egui,a689b623,Alg,Behavior,21,4,1,0,safe,safe,-1
2022,egui,abf340c6,Alg,Performance,2,2,0,0,safe,safe,-1
2022,egui,ac4d75e9,Alg,Behavior,139,62,1,1,safe,safe,-1
2022,egui,ad541877,Conc,Panic,3,2,0,0,safe,safe,0
2022,egui,b8a59242,Attr,Behavior,140,10,1,0,safe,safe,-1
